sep=;
UTC ms since epoch;Bat charge In;Bat charge Out;Bat Voltage;5V supply;3V3 supply;PCU total curr;Solar +X;Solar -X;Solar +Y;Solar -Y;Solar +Z;Solar -Z;Solar total;VCC out0;VCC out1;VCC out2;VCC out3;VCC out4;VCC out5;VCC out6;VCC out7;SS total curr;EEPROM1 curr;EEPROM2 curr;Ext ADC1;Ext ADC2;Ext ADC3;Ext ADC4;RTC curr;Charger DCDC;System V;OBC curr;Time;Restarts;Switches(CAGR);Mode;RTC;Temp.(bat);Sch. count;Section;Variable Telemetry;
1600339877719;0.00061;0.504002;7.747;5.208;3.319;0.024506;0.007324;0.004272;0.000305;0;0.00061;0.006714;1.181;0.019226;0.00061;0.000305;0.001221;0.001221;0.009766;0.001221;0.200195;0.007324;0.002136;6.1e-05;0.000763;0.000427;6.1e-05;0;0.000275;0.091553;0.616455;0.327148;1600339878;169;00000001 | 00010010 | 00000011 | 00000000 | ;3;1600339877;196;0;2;0; 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d;
1600339879280;0.00061;0.471635;7.757;5.054;3.319;0.023895;0.007324;0.003662;0.000305;0.000305;0.00061;0.006714;1.174;0.018921;0.00061;0.000305;0.001221;0.001221;0.009766;0.001221;0.200806;0.007324;0.002136;6.1e-05;0.000763;0.000427;3.1e-05;0;0.000275;0.091553;0.61615;0.324402;1600339879;169;00000001 | 00010010 | 00000011 | 00000000 | ;3;1600339879;22;0;2;0; 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d;
1600339892531;0.00061;0.47256;7.750;5.143;3.319;0.021729;0.009155;0.004272;0.000305;0;0.00061;0.007629;1.121;0.018921;0.00061;0.000305;0.001221;0.001221;0.010376;0.00061;0.198975;0.007324;0.002136;6.1e-05;0.000793;0.000427;3.1e-05;0;0.000275;0.090942;0.61615;0.327759;1600339892;169;00000001 | 00010010 | 00000011 | 00000000 | ;3;1600339892;8214;0;2;0; 0a 30 68 3d 60 ff 55 fe af 41 1d ff 5f 02 ba fe 0d fa f8 0a f0 f9 0a 31 68 3d 6e ff 53 fe 9d 41 27 ff 65 02 c8 fe 0d fa f8 0a f0 f9 0a 32 68 3d 6e ff 53 fe 9d 41 25 ff 65 02 cc fe 0d fa f8 0a f0 f9 0a 33 68 3d 5d ff 5b fe bd 41 25 ff 65 02 cc fe 0d fa f8 0a f0 f9 98 ff 01 00 00 00 00 40 a0 ff 01 00 00 00 00 40 90 6b 00 20 88 ff 02 20 b0 ff 02 20 f9 ff ff ff;
1600339906656;0.00061;0.473485;7.743;5.093;3.320;0.027679;0.00885;0.004578;0.000305;0.000305;0.00061;0.007935;1.119;0.018921;0.00061;0.000305;0.001221;0.001221;0.010376;0.001221;0.199585;0.007629;0.002136;6.1e-05;0.000763;0.000427;3.1e-05;0;0.000275;0.091248;0.61554;0.328064;1600339907;169;00000001 | 00010010 | 00000011 | 00000000 | ;3;1600339906;12310;0;2;0; 54 68 69 73 20 69 73 20 62 65 61 63 6f 6e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00;
1600339914496;0.00061;0.447591;7.750;5.063;3.319;0.024963;0.009155;0.003052;0.000305;0;0.00061;0.007629;1.126;0.014343;0.00061;0.000305;0.000916;0.001221;0.011597;0.001221;0.201416;0.007324;0.001984;6.1e-05;0.000732;0.000427;3.1e-05;0;0.000275;0.091248;0.61554;0.203552;1600339914;169;00000001 | 00010010 | 00000011 | 00000000 | ;3;1600339914;12310;0;2;0; 54 68 69 73 20 69 73 20 62 65 61 63 6f 6e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00;
1600339931371;0.00061;0.470711;7.740;5.196;3.319;0.021637;0.007629;0.003052;0.000305;0;0.00061;0.007019;1.160;0.018921;0.00061;0.000305;0.001221;0.001221;0.009766;0.001221;0.198975;0.007324;0.001984;6.1e-05;0.000793;0.000427;3.1e-05;0;0.000275;0.091858;0.615234;0.328064;1600339931;169;00000001 | 00010010 | 00000011 | 00000000 | ;3;1600339931;12310;0;2;0; 54 68 69 73 20 69 73 20 62 65 61 63 6f 6e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00;
1600339932270;0.00061;0.471635;7.740;5.164;3.320;0.026123;0.007324;0.003662;0.000305;0.000305;0.00061;0.006714;1.176;0.019226;0.00061;0.000305;0.000916;0.001221;0.010376;0.001221;0.198975;0.007019;0.002136;6.1e-05;0.000793;0.000427;3.1e-05;0;0.000275;0.091858;0.615234;0.326538;1600339932;169;00000001 | 00010010 | 00000011 | 00000000 | ;3;1600339932;12310;0;2;0; 54 68 69 73 20 69 73 20 62 65 61 63 6f 6e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00;
1600339933103;0.00061;0.47256;7.740;5.151;3.322;0.026062;0.008545;0.003967;0.000305;0;0.00061;0.007629;1.124;0.019226;0.00061;0.000305;0.001221;0.001221;0.010376;0.001221;0.198364;0.007324;0.002136;6.1e-05;0.000763;0.000427;6.1e-05;0;0.000275;0.090942;0.615234;0.328979;1600339933;169;00000001 | 00010010 | 00000011 | 00000000 | ;3;1600339933;12310;0;2;0; 54 68 69 73 20 69 73 20 62 65 61 63 6f 6e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00;
1600339934078;0.00061;0.449441;7.747;5.162;3.318;0.025146;0.007019;0.004578;0.000305;0;0.00061;0.006714;1.184;0.014038;0.00061;0.000305;0.001221;0.001221;0.010986;0.001221;0.198975;0.007324;0.001984;6.1e-05;0.000793;0.000427;3.1e-05;0;0.000275;0.091858;0.61615;0.203247;1600339934;169;00000001 | 00010010 | 00000011 | 00000000 | ;3;1600339934;12310;0;2;0; 54 68 69 73 20 69 73 20 62 65 61 63 6f 6e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00;
1600339966205;0.00061;0.470711;7.737;5.059;3.319;0.021667;0.007935;0.004578;0.000305;0;0.00061;0.007019;1.144;0.018921;0.00061;0.000305;0.000916;0.001221;0.009766;0.001221;0.199585;0.007019;0.002136;6.1e-05;0.000763;0.000397;3.1e-05;0;0.000275;0.090942;0.614014;0.328064;1600339966;169;00000001 | 00010010 | 00000011 | 00000000 | ;3;1600339966;12310;0;2;0; 0a 30 68 3d 86 ff 7a fe 96 41 0c ff 56 02 b7 fe e4 f9 ea 0a f6 f9 0a 31 68 3d 86 ff 7a fe ab 41 06 ff 54 02 b3 fe e4 f9 ea 0a f6 f9 0a 32 68 3d 7a ff 75 fe ab 41 06 ff 54 02 b3 fe e4 f9 ea 0a f6 f9 0a 33 68 3d 88 ff 5d fe a5 41 13 ff 5f 02 b5 fe e4 f9 ea 0a f6 f9 00 00 00 00 00 00 00 00 80 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00 00 00 08 e2 00 00 00 00;
