UTC ms since epoch;Bat charge In;Bat charge Out;Bat Voltage;5V supply;3V3 supply;PCU total curr;Solar +X;Solar -X;Solar +Y;Solar -Y;Solar +Z;Solar -Z;Solar total;VCC out0;VCC out1;VCC out2;VCC out3;VCC out4;VCC out5;VCC out6;VCC out7;SS total curr;EEPROM1 curr;EEPROM2 curr;Ext ADC1;Ext ADC2;Ext ADC3;Ext ADC4;RTC curr;Charger DCDC;System V;OBC curr;Time;Restarts;Switches(CAGR);Mode;RTC;Temp.(bat);Sch. count;Section;Variable Telemetry;
1600330000000,00;0.00061;0.246915;7.966;5.199;3.319;0.027405;0.007935;0.004883;0.000305;0;0.00061;0.007019;1.176;0.019226;0.00061;0.000305;0.001221;0.001221;0.009766;0.001221;0.002441;0.003357;0.001984;6.1e-05;0.000732;0.000427;3.1e-05;0;0.000275;0.092163;0.636292;0.327759;1600327564;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327564;0;0;2;0; 0a 30 68 3d 2c 00 9b ff 48 41 5e ff fc 01 e5 fe ac fe 36 0f 20 fa 0a 31 68 3d 2c 00 9b ff 48 41 64 ff fa 01 e4 fe ac fe 36 0f 20 fa 0a 32 68 3d 18 00 99 ff 41 41 64 ff fa 01 e4 fe ac fe 36 0f 20 fa 0a 33 68 3d 0b 00 9b ff 3b 41 66 ff fc 01 e1 fe ac fe 36 0f 20 fa 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00
1600330000000,00;0.00061;0.24784;7.963;5.102;3.318;0.027191;0.00885;0.004272;0;0.000305;0.00061;0.007629;1.144;0.019226;0.00061;0.000305;0.001221;0.001221;0.010376;0.001221;0.002441;0.003357;0.002136;6.1e-05;0.000732;0.000427;3.1e-05;0;0.000275;0.092468;0.636292;0.328369;1600327565;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327565;0;0;2;0; 0a 30 68 3d 22 00 91 ff 34 41 67 ff f7 01 e4 fe bf fe 2a 0f 39 fa 0a 31 68 3d 16 00 91 ff 34 41 67 ff f7 01 d5 fe bf fe 2a 0f 39 fa 0a 32 68 3d 11 00 8a ff 31 41 60 ff ea 01 d5 fe bf fe 2a 0f 37 fa 0a 33 68 3d 2a 00 95 ff 4c 41 54 ff f9 01 dd fe d5 fe 47 0f 37 fa 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00
1600330000000,00;0.00061;0.24784;7.963;5.091;3.318;0.02179;0.007324;0.003357;0.000305;0.000305;0.00061;0.007019;1.179;0.018921;0.00061;0.000305;0.001221;0.001221;0.009766;0.00061;0.002441;0.003662;0.002136;6.1e-05;0.000763;0.000427;3.1e-05;0;0.000275;0.093079;0.636292;0.328369;1600327566;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327566;0;0;2;0; 0a 30 68 3d 1d 00 92 ff 49 41 58 ff e1 01 d0 fe c7 fe 31 0f 72 fa 0a 31 68 3d 21 00 a5 ff 4b 41 5d ff e6 01 e0 fe c7 fe 31 0f 72 fa 0a 32 68 3d 21 00 a5 ff 4b 41 53 ff e4 01 d6 fe bd fe 3b 0f 2e fa 0a 33 68 3d 2d 00 97 ff 35 41 53 ff e4 01 d6 fe bd fe 3b 0f 2e fa 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00
1600330000000,00;0.00061;0.24784;7.963;5.234;3.318;0.024231;0.00824;0.004578;0.000305;0.000305;0.00061;0.007324;1.161;0.019226;0.00061;0.000305;0.001221;0.001221;0.009766;0.001221;0.002441;0.003357;0.002136;6.1e-05;0.000793;0.000427;3.1e-05;0;0.000244;0.092163;0.636292;0.328369;1600327567;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327567;0;0;2;0; 0a 30 68 3d 1c 00 8a ff 3c 41 4a ff e4 01 d4 fe ba fe 33 0f 6a fa 0a 31 68 3d 14 00 90 ff 49 41 5a ff e4 01 d4 fe ba fe 33 0f 6a fa 0a 32 68 3d 31 00 99 ff 35 41 62 ff ea 01 d1 fe ba fe 33 0f 6a fa 0a 33 68 3d 2e 00 7c ff 62 41 56 ff ef 01 da fe ba fe 33 0f 6a fa 00 00 01 00 01 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 90 ff 02 20 01 00 00 00
1600330000000,00;0.00061;0.24599;7.963;5.094;3.318;0.023346;0.007019;0.003662;0.000305;0;0.00061;0.006409;1.197;0.019226;0.00061;0.000305;0.001221;0.001221;0.009766;0.001221;0.003052;0.003357;0.002136;6.1e-05;0.000763;0.000458;3.1e-05;0;0.000275;0.093079;0.636292;0.324402;1600327568;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327568;0;0;2;0; 0a 30 68 3d 2f 00 89 ff 4a 41 62 ff 03 02 ec fe dd fe 2c 0f 3f fa 0a 31 68 3d 0e 00 87 ff 3f 41 68 ff 04 02 db fe dd fe 2c 0f 3f fa 0a 32 68 3d 14 00 82 ff 3e 41 5c ff fa 01 e5 fe dd fe 2c 0f 3f fa 0a 33 68 3d 14 00 82 ff 3e 41 5a ff ea 01 f3 fe dd fe 2c 0f 3f fa 02 00 01 00 01 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 90 ff 02 20 01 00 00 00
1600330000000,00;0.00061;0.246915;7.963;5.161;3.318;0.023285;0.007324;0.004883;0;0;0.00061;0.006714;1.181;0.018921;0.00061;0.000305;0.001221;0.001221;0.010376;0.00061;0.002441;0.003357;0.002136;6.1e-05;0.000732;0.000427;3.1e-05;0;0.000275;0.092163;0.636292;0.323486;1600327569;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327569;0;0;2;0; 0a 30 68 3d 2b 00 8e ff 47 41 52 ff eb 01 ce fe b5 fe 44 0f 26 fa 0a 31 68 3d 2d 00 86 ff 32 41 66 ff e5 01 cb fe b5 fe 44 0f 26 fa 0a 32 68 3d 2d 00 86 ff 32 41 57 ff f2 01 d7 fe b5 fe 44 0f 26 fa 0a 33 68 3d 1d 00 88 ff 42 41 57 ff f2 01 d7 fe b5 fe 44 0f 26 fa 08 00 00 00 00 00 00 00 a0 ff 02 20 00 00 00 00 00 00 00 00 b0 ff 02 20 00 00 00 00 f9 ff ff ff
1600330000000,00;0.00061;0.246915;7.963;5.154;3.319;0.0242;0.007324;0.003967;0;0.000305;0.00061;0.006409;1.191;0.018616;0.00061;0.000305;0.001221;0.001221;0.009766;0.00061;0.003052;0.003357;0.002136;6.1e-05;0.000824;0.000458;3.1e-05;0;0.000275;0.093079;0.636292;0.324097;1600327570;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327570;0;0;2;0; 0a 30 68 3d 1e 00 8a ff 39 41 68 ff f4 01 df fe bf fe 28 0f 24 fa 0a 31 68 3d 1d 00 8b ff 51 41 58 ff ed 01 d4 fe bf fe 28 0f 24 fa 0a 32 68 3d 1e 00 8d ff 1e 41 4b ff ed 01 db fe bf fe 28 0f 24 fa 0a 33 68 3d 1e 00 8d ff 1e 41 4c ff e1 01 e5 fe bf fe 28 0f 24 fa 02 00 01 00 01 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 90 ff 02 20 01 00 00 00
1600330000000,00;0.00061;0.246915;7.963;5.222;3.319;0.026337;0.007324;0.004578;0.000305;0;0.00061;0.006714;1.186;0.018921;0.00061;0.000305;0.001221;0.001221;0.009766;0.001221;0.002441;0.003357;0.002136;6.1e-05;0.000763;0.000458;3.1e-05;0;0.000275;0.092163;0.636292;0.323792;1600327571;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327571;0;0;2;0; 0a 30 68 3d 14 00 95 ff 3f 41 4e ff 09 02 e5 fe b3 fe 1e 0f 67 fa 0a 31 68 3d 21 00 89 ff 2a 41 58 ff f5 01 ea fe b3 fe 1e 0f 67 fa 0a 32 68 3d 21 00 89 ff 2a 41 4c ff ee 01 cf fe b3 fe 1e 0f 67 fa 0a 33 68 3d 29 00 86 ff 42 41 4c ff ee 01 cf fe b3 fe 1e 0f 67 fa 00 00 00 00 00 00 00 00 80 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00 00 00 08 e2 00 00 00 00
1600330000000,00;0.00061;0.24599;7.963;5.222;3.318;0.024872;0.007324;0.003357;0;0.000305;0.00061;0.006714;1.184;0.019226;0.00061;0.000305;0.001221;0.001221;0.009766;0.001221;0.002441;0.003357;0.001984;6.1e-05;0.000763;0.000458;3.1e-05;0;0.000275;0.093079;0.636292;0.323486;1600327572;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327572;0;0;2;0; 0a 30 68 3d 21 00 8a ff 51 41 4c ff eb 01 d1 fe 99 fe 26 0f 0d fa 0a 31 68 3d 20 00 83 ff 33 41 54 ff e7 01 d7 fe 99 fe 26 0f 0d fa 0a 32 68 3d 20 00 83 ff 40 41 60 ff dd 01 e9 fe 99 fe 26 0f 0d fa 0a 33 68 3d 1f 00 89 ff 40 41 60 ff dd 01 e1 fe 99 fe 26 0f 0d fa 02 00 01 00 00 00 00 40 a0 ff 01 00 80 ff 02 20 b0 ff 02 20 f9 ff ff ff 01 00 00 00 e7 ff 02 20
1600330000000,00;0.00061;0.24784;7.963;5.072;3.319;0.028381;0.007324;0.004272;0;0.000305;0.00061;0.006714;1.187;0.018921;0.00061;0.000305;0.000916;0.001221;0.010986;0.001221;0.003052;0.003357;0.002136;6.1e-05;0.000763;0.000427;3.1e-05;0;0.000275;0.092468;0.635376;0.322571;1600327573;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327573;0;0;2;0; 0a 30 68 3d 1c 00 9b ff 47 41 59 ff ee 01 e5 fe cc fe 2b 0f 69 fa 0a 31 68 3d 1c 00 9b ff 23 41 52 ff fb 01 d2 fe cc fe 2b 0f 69 fa 0a 32 68 3d 24 00 82 ff 23 41 52 ff fb 01 d0 fe cc fe 2b 0f 69 fa 0a 33 68 3d 1c 00 8b ff 36 41 4e ff ec 01 d0 fe cc fe 2b 0f 69 fa 02 00 01 00 00 00 00 40 a0 ff 01 00 00 00 00 40 3c 6c 00 20 88 ff 02 20 b0 ff 02 20 f9 ff ff ff
