sep=;
UTC ms since epoch;Bat charge In;Bat charge Out;Bat Voltage;5V supply;3V3 supply;PCU total curr;Solar +X;Solar -X;Solar +Y;Solar -Y;Solar +Z;Solar -Z;Solar total;VCC out0;VCC out1;VCC out2;VCC out3;VCC out4;VCC out5;VCC out6;VCC out7;SS total curr;EEPROM1 curr;EEPROM2 curr;Ext ADC1;Ext ADC2;Ext ADC3;Ext ADC4;RTC curr;Charger DCDC;System V;OBC curr;Time;Restarts;Switches(CAGR);Mode;RTC;Temp.(bat);Sch. count;Section;Variable Telemetry;
1601554310936;0.025024;0.082305;8.212;5.089;3.300;0.061218;0.001221;0.00824;0.011902;0.003357;0.00061;0.000305;0.876301;0.003357;0.00061;0.001831;0.000305;0.001831;0.004272;0.00061;0.001221;0.001831;0.000305;0.000183;0.076538;0.042664;0.076996;0.040833;0.000275;0.056152;0.661316;0.003967;1599732929;9;11000000 | 00010000 | 00000011 | 00000000 | ;2;0;0;0;1;0; 05 00 00 00 03 ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7c;
1601554317123;0.025024;0.085079;8.212;5.135;3.303;0.061829;0.001221;0.008545;0.011902;0.003662;0.00061;0.00061;0.873061;0.003662;0.00061;0.001831;0.00061;0.001831;0.004272;0.00061;0.001221;0.001831;0.000458;0.000183;0.076569;0.042999;0.077026;0.041107;0.000275;0.056152;0.661316;0.003662;1599732936;9;11000000 | 00010000 | 00000011 | 00000000 | ;2;0;0;0;1;0; 08 00 00 00 03 ff 00 03 ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7c;
1601554319465;0.025635;0.084155;8.212;5.133;3.303;0.061798;0.001221;0.00824;0.012207;0.003662;0.00061;0.00061;0.873061;0.003662;0.00061;0.001831;0.000305;0.001831;0.004883;0.00061;0.001221;0.001831;0.000458;0.000183;0.076538;0.04248;0.076996;0.040741;0.000275;0.055847;0.661621;0.003662;1599732938;9;11000000 | 00010000 | 00000011 | 00000000 | ;3;0;0;0;1;0; 0b 00 00 00 03 ff 00 03 ff 00 03 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7c;
1601554323731;0.025024;0.049013;8.222;5.114;3.298;0.026398;0.000916;0.007935;0.011902;0.003357;0.00061;0.00061;0.874681;0.004272;0.00061;0.001831;0.000305;0.001831;0.004883;0.00061;0.001221;0.001831;0.000458;0.000183;0.000793;0.04129;0.002747;0.039917;0.000275;0.056152;0.663452;0.007324;1599732942;9;11000001 | 00010000 | 00000011 | 00000000 | ;3;0;0;0;1;0; 0e 00 00 00 03 ff 00 03 ff 00 03 03 00 03 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7c;
1601554325557;0.025024;0.146114;8.195;5.225;3.287;0.063049;0.001221;0.007935;0.012512;0.003357;0.00061;0.00061;0.876301;0.01709;0.00061;0.001831;0.00061;0.001831;0.004272;0.00061;0.001221;0.001526;0.000458;0.000183;0.000763;0.013336;0.001801;0.013916;0.000214;0.056152;0.658264;0.311279;1599732944;9;11000001 | 00010000 | 00000011 | 00000000 | ;3;0;0;0;1;0; 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 01 00 00 00 00 7a 92 00 28 00 00 00 00 00 c8 0b 0e fb 6a f8 00 00 00 00 00 00 7c 5f 5f 5f 4e 6f 5f 44 61 74 61 21 5f 5f 5f 7c 00 00 00 00 00 00 00 00 00 00;
1601554337609;0.025635;0.146114;8.192;5.125;3.287;0.063385;0.001221;0.007935;0.012207;0.003662;0.00061;0.00061;0.874681;0.016785;0.00061;0.001831;0.00061;0.001831;0.004883;0.00061;0.001221;0.001831;0.000458;0.000183;0.000763;0.000854;0.001709;0.00116;0.000214;0.056152;0.658264;0.310059;1599732956;9;11000001 | 00010000 | 00000011 | 00000000 | ;3;0;0;0;1;0; 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0d 00 0d 00 00 00 00 7a 92 00 28 00 00 00 00 00 c6 0b 24 fb ab f8 00 00 00 00 00 00 7c 5f 5f 5f 4e 6f 5f 44 61 74 61 21 5f 5f 5f 7c 00 00 00 00 00 00 00 00 00 00;
1601554345351;0.025635;0.110048;8.202;5.125;3.287;0.028687;0.000916;0.00824;0.012207;0.003357;0.000305;0.00061;0.876301;0.016785;0.00061;0.001831;0.00061;0.001831;0.004883;0.00061;0.001221;0.002136;0.000305;0.000183;0.000763;0.000885;0.001801;0.00116;0.000214;0.056152;0.659485;0.309753;1599732964;9;11000001 | 00010010 | 00000011 | 00000000 | ;3;167838984;196;0;1;0; 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 13 00 14 00 00 00 00 7a 92 00 2a 00 00 00 00 00 c5 0b 28 fb be f8 00 00 00 00 00 00 7c 5f 5f 5f 4e 6f 5f 44 61 74 61 21 5f 5f 5f 7c 00 00 00 00 00 00 00 00 00 00;
1601554353791;0.025024;0.118371;8.199;5.075;3.289;0.027069;0.000916;0.008545;0.011597;0.003662;0.000305;0.00061;0.876301;0.016785;0.00061;0.001831;0.00061;0.001831;0.004272;0.00061;0.001221;0.003662;0.000305;0.000183;0.000763;0.000854;0.001801;0.00116;0.000183;0.056152;0.658264;0.314331;1599732972;9;11000001 | 00010010 | 00000011 | 00000000 | ;3;167838984;32791;0;1;0; 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d;
1601554355585;0.025635;0.116522;8.199;5.063;3.289;0.0271;0.000916;0.008545;0.011597;0.003357;0.000305;0.00061;0.876301;0.016785;0.00061;0.001831;0.00061;0.001831;0.004883;0.00061;0.001221;0.003662;0.000458;0.000183;0.000732;0.000854;0.001801;0.00116;0.000214;0.056152;0.65918;0.310059;1599732974;9;11000001 | 00010010 | 00000011 | 00000000 | ;3;167838984;32791;0;1;0; 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 72 72 72 72 eb 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d;
1601554356667;0.025024;0.117446;8.199;5.201;3.289;0.0271;0.000916;0.008545;0.012207;0.003662;0.000305;0.00061;0.876301;0.01709;0.00061;0.001831;0.00061;0.001831;0.004272;0.00061;0.001221;0.003662;0.000305;0.000183;0.000763;0.000854;0.00177;0.00116;0.000214;0.056152;0.659485;0.313721;1599732975;9;11000001 | 00010010 | 00000011 | 00000000 | ;3;167838984;32791;0;1;0; 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d;
